"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","JetLinks物联网平台","17","产品管理模块","40","0","","0"
"0","JetLinks物联网平台","1","绑定体管理模块","4","0","网关协议绑定功能","0"
"0","JetLinks系统测试","0","登录模块","21","0","登录功能测试","0"
"0","JetLinks物联网平台","1","产品管理模块","6","0","产品编辑功能","0"
"1","JetLinks物联网平台","5","产品管理模块","1","0","产品查询功能","0"
"0","JetLinks物联网平台","0","设备端对端集成","1","0","设备属性上报与规则联动","0"
"0","JetLinks物联网平台","0","场景联动模块","8","0","场景创建与删除功能","0"
"0","JetLinks物联网平台","0","协议管理","5","0","协议基础功能验证","0"
"0","JetLinks物联网平台","0","告警管理模块","1","0","告警生命周期管理","0"
"0","JetLinks物联网平台","0","告警管理模块","1","0","异常场景","0"
"0","JetLinks物联网平台","0","MQTT可靠性","1","0","会话保持与重连","0"
"0","JetLins物联网平台","0","网络配置/网关管理","6","0","网关基础功能验证","0"
"0","JetLinks物联网平台","0","产品管理模块","4","0","产品删除功能","0"
"0","","1","","6","0","","0"
"0","JetLinks物联网平台","0","MQTT可靠性","1","0","遗嘱消息","0"
"0","JetLinks物联网平台","0","设备通信主链路","2","0","设备全生命周期管理","0"
"0","JetLinks物联网平台","0","告警管理模块","1","0","告警修改","0"
"0","JetLinks物联网平台","0","告警管理模块","1","0","告警状态变更","0"
