"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试系统对SQL注入，XSS，命令注入等安全攻击的防护能力","5","安全注入测试","testcase","Fri May 01 17:22:35 UTC 2026","passed","Fri May 01 17:22:35 UTC 2026","TestLogin","test_login","",""
"测试系统对各种长度输入的处理能力，包括边界值和攻击长度","4","字段健壮性测试","testcase","Fri May 01 17:22:35 UTC 2026","passed","Fri May 01 17:22:35 UTC 2026","TestLogin","test_login","",""
"删除不存在的ID的告警，应返回404","14","删除不存在的告警","testcase","Fri May 01 17:21:14 UTC 2026","passed","Fri May 01 17:21:14 UTC 2026","TestAlarmManagement","test_alarm","",""
"验证用户使用正确的用户名和密码能正常登录并获取Token","5","正常登录测试","testcase","Fri May 01 17:22:34 UTC 2026","passed","Fri May 01 17:22:34 UTC 2026","TestLogin","test_login","",""
"测试系统对SQL注入，XSS，命令注入等安全攻击的防护能力","5","安全注入测试","testcase","Fri May 01 17:22:35 UTC 2026","passed","Fri May 01 17:22:35 UTC 2026","TestLogin","test_login","",""
"测试系统对各种长度输入的处理能力，包括边界值和攻击长度","12","字段健壮性测试","testcase","Fri May 01 17:22:34 UTC 2026","passed","Fri May 01 17:22:34 UTC 2026","TestLogin","test_login","",""
"验证创建设备后的状态能够正常显示（默认禁用）","14","验证设备在线状态","testcase","Fri May 01 17:21:17 UTC 2026","passed","Fri May 01 17:21:17 UTC 2026","TestDevice","test_device","",""
"验证禁用网关接口是否返回 success message","35","成功禁用网关","testcase","Fri May 01 17:21:14 UTC 2026","passed","Fri May 01 17:21:14 UTC 2026","TestNetworkConfig","test_api_network_config","",""
"测试系统对SQL注入，XSS，命令注入等安全攻击的防护能力","6","安全注入测试","testcase","Fri May 01 17:22:35 UTC 2026","passed","Fri May 01 17:22:35 UTC 2026","TestLogin","test_login","",""
"验证禁用不存在的绑定时的错误处理","7","禁用不存在的绑定（异常测试）","testcase","Fri May 01 17:21:40 UTC 2026","failed","Fri May 01 17:21:40 UTC 2026","TestGatewayDeviceBinding","test_gateway_binding","",""
"测试各种登录失败场景，包括错误密码，空值，不存在用户等","8","登录失败场景测试","testcase","Fri May 01 17:22:34 UTC 2026","passed","Fri May 01 17:22:34 UTC 2026","TestLogin","test_login","",""
"测试各种登录失败场景，包括错误密码，空值，不存在用户等","6","登录失败场景测试","testcase","Fri May 01 17:22:34 UTC 2026","passed","Fri May 01 17:22:34 UTC 2026","TestLogin","test_login","",""
